3/6/22 12:44 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	     423	19476	                      94719	                       134794	   423	
Remaining:       	       2	   22	                         97	                          154	     2	
Unique:          	     423	19476	                      94719	                       134794	   423	
Unique Remaining:	       2	   22	                         97	                          154	     2	


Individual File Statistics:

File Name                           	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
12_اساسي المرحلة الثانية/303.txt    	             1	                 0	              1	                        0	         47	              0	          47	                     0	                              232	                                    0	                               232	                                           0	                                331	                                      0	                                 331	                                             0	
12_اساسي المرحلة الثانية/304.txt    	             1	                 0	              1	                        0	         38	              0	          38	                     0	                              241	                                    0	                               241	                                           0	                                322	                                      0	                                 322	                                             0	
12_اساسي المرحلة الثانية/306.txt    	             1	                 0	              1	                        0	         45	              0	          45	                     0	                              237	                                    0	                               237	                                           0	                                332	                                      0	                                 332	                                             0	
12_اساسي المرحلة الثانية/307.txt    	             1	                 0	              1	                        0	         40	              0	          40	                     0	                              247	                                    0	                               247	                                           0	                                332	                                      0	                                 332	                                             0	
12_اساسي المرحلة الثانية/308.txt    	             1	                 0	              1	                        0	         50	              0	          50	                     0	                              238	                                    0	                               238	                                           0	                                343	                                      0	                                 343	                                             0	
12_اساسي المرحلة الثانية/309.txt    	             1	                 0	              1	                        0	         51	              0	          51	                     0	                              241	                                    0	                               241	                                           0	                                348	                                      0	                                 348	                                             0	
12_اساسي المرحلة الثانية/311.txt    	             1	                 0	              1	                        0	         50	              0	          50	                     0	                              241	                                    0	                               241	                                           0	                                346	                                      0	                                 346	                                             0	
12_اساسي المرحلة الثانية/312.txt    	             1	                 0	              1	                        0	         56	              0	          56	                     0	                              256	                                    0	                               256	                                           0	                                374	                                      0	                                 374	                                             0	
12_اساسي المرحلة الثانية/313.txt    	             1	                 0	              1	                        0	         55	              0	          55	                     0	                              256	                                    0	                               256	                                           0	                                372	                                      0	                                 372	                                             0	
12_اساسي المرحلة الثانية/314.txt    	             1	                 0	              1	                        0	         53	              0	          53	                     0	                              254	                                    0	                               254	                                           0	                                366	                                      0	                                 366	                                             0	
12_اساسي المرحلة الثانية/316.txt    	             1	                 0	              1	                        0	         44	              0	          44	                     0	                              224	                                    0	                               224	                                           0	                                284	                                      0	                                 284	                                             0	
13_الرموز/318.txt                   	             1	                 0	              1	                        0	         30	              0	          30	                     0	                              126	                                    0	                               126	                                           0	                                155	                                      0	                                 155	                                             0	
13_الرموز/319.txt                   	             1	                 0	              1	                        0	         13	              0	          13	                     0	                              130	                                    0	                               130	                                           0	                                155	                                      0	                                 155	                                             0	
13_الرموز/321.txt                   	             1	                 0	              1	                        0	         23	              0	          23	                     0	                               61	                                    0	                                61	                                           0	                                 95	                                      0	                                  95	                                             0	
13_الرموز/322.txt                   	             1	                 0	              1	                        0	         21	              0	          21	                     0	                              124	                                    0	                               124	                                           0	                                171	                                      0	                                 171	                                             0	
13_الرموز/324.txt                   	             1	                 0	              1	                        0	         22	              0	          22	                     0	                               61	                                    0	                                61	                                           0	                                 92	                                      0	                                  92	                                             0	
13_الرموز/325.txt                   	             1	                 0	              1	                        0	         15	              0	          15	                     0	                              104	                                    0	                               104	                                           0	                                134	                                      0	                                 134	                                             0	
13_الرموز/327.txt                   	             1	                 0	              1	                        0	         13	              0	          13	                     0	                               64	                                    0	                                64	                                           0	                                 92	                                      0	                                  92	                                             0	
13_الرموز/328.txt                   	             1	                 0	              1	                        0	         15	              0	          15	                     0	                              108	                                    0	                               108	                                           0	                                139	                                      0	                                 139	                                             0	
13_الرموز/330.txt                   	             1	                 0	              1	                        0	         23	              0	          23	                     0	                               60	                                    0	                                60	                                           0	                                 93	                                      0	                                  93	                                             0	
13_الرموز/331.txt                   	             1	                 0	              1	                        0	         15	              0	          15	                     0	                              105	                                    0	                               105	                                           0	                                135	                                      0	                                 135	                                             0	
13_الرموز/333.txt                   	             1	                 0	              1	                        0	         24	              0	          24	                     0	                               49	                                    0	                                49	                                           0	                                 72	                                      0	                                  72	                                             0	
13_الرموز/334.txt                   	             1	                 0	              1	                        0	         22	              0	          22	                     0	                               45	                                    0	                                45	                                           0	                                 72	                                      0	                                  72	                                             0	
13_الرموز/335.txt                   	             1	                 0	              1	                        0	         22	              0	          22	                     0	                               45	                                    0	                                45	                                           0	                                 72	                                      0	                                  72	                                             0	
13_الرموز/336.txt                   	             1	                 0	              1	                        0	         21	              0	          21	                     0	                               43	                                    0	                                43	                                           0	                                 68	                                      0	                                  68	                                             0	
13_الرموز/337.txt                   	             1	                 0	              1	                        0	         21	              0	          21	                     0	                               43	                                    0	                                43	                                           0	                                 68	                                      0	                                  68	                                             0	
13_الرموز/338.txt                   	             1	                 0	              1	                        0	         24	              0	          24	                     0	                              127	                                    0	                               127	                                           0	                                148	                                      0	                                 148	                                             0	
13_الرموز/339.txt                   	             1	                 0	              1	                        0	         21	              0	          21	                     0	                               43	                                    0	                                43	                                           0	                                 64	                                      0	                                  64	                                             0	
13_الرموز/340.txt                   	             1	                 0	              1	                        0	         14	              0	          14	                     0	                               37	                                    0	                                37	                                           0	                                 50	                                      0	                                  50	                                             0	
13_الرموز/341.txt                   	             1	                 0	              1	                        0	          7	              0	           7	                     0	                               37	                                    0	                                37	                                           0	                                 50	                                      0	                                  50	                                             0	
13_الرموز/342.txt                   	             1	                 0	              1	                        0	         18	              0	          18	                     0	                               37	                                    0	                                37	                                           0	                                 56	                                      0	                                  56	                                             0	
13_الرموز/343.txt                   	             1	                 0	              1	                        0	         23	              0	          23	                     0	                               47	                                    0	                                47	                                           0	                                 92	                                      0	                                  92	                                             0	
13_الرموز/344.txt                   	             1	                 0	              1	                        0	         19	              0	          19	                     0	                               63	                                    0	                                63	                                           0	                                108	                                      0	                                 108	                                             0	
13_الرموز/345.txt                   	             1	                 0	              1	                        0	         25	              0	          25	                     0	                               71	                                    0	                                71	                                           0	                                 76	                                      0	                                  76	                                             0	
13_الرموز/346.txt                   	             1	                 0	              1	                        0	         19	              0	          19	                     0	                               64	                                    0	                                64	                                           0	                                 95	                                      0	                                  95	                                             0	
14_مقاطع عامة الجزء الثالث/347.txt  	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              146	                                    0	                               146	                                           0	                                211	                                      0	                                 211	                                             0	
14_مقاطع عامة الجزء الثالث/348.txt  	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              134	                                    0	                               134	                                           0	                                199	                                      0	                                 199	                                             0	
14_مقاطع عامة الجزء الثالث/349.txt  	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              179	                                    0	                               179	                                           0	                                247	                                      0	                                 247	                                             0	
14_مقاطع عامة الجزء الثالث/350.txt  	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              137	                                    0	                               137	                                           0	                                202	                                      0	                                 202	                                             0	
14_مقاطع عامة الجزء الثالث/351.txt  	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              143	                                    0	                               143	                                           0	                                208	                                      0	                                 208	                                             0	
14_مقاطع عامة الجزء الثالث/352.txt  	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              143	                                    0	                               143	                                           0	                                208	                                      0	                                 208	                                             0	
